Sr_ no_,Interview type,Urban_Peri Urban,SEC,Province,city,Region,District,Belts,GPS,S1,S2,S3,S4,S5,S6,S7,S8,Q1,Q2,Q3,Q4,National Grid,Local mini-grid1,Generator,Solar energy,Rechargeable batteries ,Non-rechargeable batteries ,Other (specify),ES2,ES3,Years,Months,ES5,Amount,ES7,ES8,es9_1,es9_2,es9_3,es9_4,es9_5,es9_6,es9_7,es9_8,es9_9,es9_10,es9_11,es9_12,es9_13,es9_14,es9_15,es9_16,es10_1,es10_2,es10_3,es10_4,es10_5,es10_6,es10_7,es10_8,es10_9,es10_10,es10_11,es10_12,es10_13,es10_14,es10_15,es10_16,Short duration of electricity supply,Low voltage,Unpredictable interruptions,Too expensive,Other (specify),ES12,es13a_1,es13a_2,es13a_3,es13a_4,es13a_5,es13a_6,es13a_7,es13a_8,es13a_9,es13a_10,Other (specify),ES13b,ES13c,ES14,ES15,ES16,es17_1,es17_2,es17_3,es17_4,es17_5,es17_6,es17_7,ES18,es19_1,es19_2,es19_3,es19_04,es19_05,es19_06,es19_07,es19_08,es19_09,es19_10,es19_11,ES20,E1,e2_1_1,e2_1_2,e2_1_3,e2_1_4,e2_1_5,e2_1_6,e2_1_7,e2_1_8,e2_1_9,e2_1_10,e2_1_11,e2_1_12,e2_1_13,e2_1_14,e3_1,e3_2,e3_3,e3_4,e3_5,e3_6,e3_7,e3_8,e3_9,e3_10,e3_11,e3_12,e3_13,e3_14,Other (specify),IC1_1,IC1_2,Inside their dwelling,Outside the home,IC3,IC4,ic5_1,ic5_2,ic5_3,ic5_4,ic5_5,Other (specify)_6,I don’t know_7,IC6_1,IC6_2,IC6_3,IC6_4,IC6_5,IC6_6,SA1,SA2,SA3,SA4,SA5,SA6,HH1,HH2,HH3,HH4_1,HH4_2,HH4_3,HH4_4,HH4_5,HH4_6,HH4_7,HH4_8,HH4_9,HH4_10,HH4_11,HH4_12,HH5_1,HH5_2,HH5_3,HH5_4,HH5_5,HH5_6,HH5_7,HH5_8,HH5_9,HH4_10,HH4_11,HH4_12,Repairing House_Rent,Food,School fees and necessary items,Lightning_Energy_Fuel,Transport,Clothes,Health care,Family support,Social welfare fees
119,PPAF,Rural,SEC C,Sindh,Nagarparkar,Karachi,Karachi District,Lower Sindh,"24.3608775,70.7488633",1,3,1,2,2,1,3,6,1,1,1,1,2,1,2,2,2,2,2,2,7,0,0,,600.00,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,5,2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,0,1,2,1,4,2,2,2,2,2,2,2,1,,,,,,,3,,,,,,2,6000.00,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,0.00,4000.00,200.00,300.00,500.00,400.00,200.00,1000.00,300.00
337,PPAF,Rural,SEC E,Sindh,Badin,Karachi,Karachi District,Lower Sindh,"24.7521458,68.2782842",1,3,2,2,2,1,1,3,1,1,4,4,2,2,2,2,2,2,1,2,7,0,0,,300.00,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,,1,2,1,2,2,2,2,2,2,2,2,5,4,1,2,4,2,1,1,2,1,2,2,1,1,1,2,2,2,2,1,2,2,2,2,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,0,1,2,1,50,1,2,2,2,2,2,2,1,,,,,,,3,,,,,,2,15000.00,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,0.00,1500.00,1000.00,0.00,1000.00,3000.00,1000.00,300.00,50.00
340,PPAF,Rural,SEC E,Sindh,Badin,Karachi,Karachi District,Lower Sindh,"24.7521458,68.2782842",1,3,1,1,2,2,1,3,1,1,1,1,2,2,2,2,2,2,1,2,7,0,0,,300.00,3,0.1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,2,2,1,2,2,1,2,2,2,2,2,4,2,1,3,4,2,1,1,2,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,0,1,2,1,20,1,2,2,2,2,2,2,1,,,,,,,3,,,,,,2,15000.00,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,0.00,5000.00,100.00,0.00,1000.00,3000.00,500.00,60.00,0.00
342,PPAF,Rural,SEC E,Sindh,Badin,Karachi,Karachi District,Lower Sindh,"24.7521458,68.2782842",1,2,1,2,2,2,1,3,1,4,3,3,2,2,2,1,2,2,2,2,7,3,0,,2000.00,3,0.5,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,2,1,1,2,2,2,2,2,2,2,5,3,2,2,4,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,0,1,2,1,50,2,2,2,2,2,2,2,1,,,,,,,3,,,,,,2,20000.00,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,0.00,8000.00,500.00,0.00,1000.00,1500.00,620.00,400.00,0.00
352,PPAF,Rural,SEC E,Sindh,Badin,Karachi,Karachi District,Lower Sindh,"24.7521458,68.2782842",1,4,1,3,2,2,1,3,1,1,1,3,2,2,2,2,2,2,1,2,7,5,7,,400.00,3,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,2,2,1,2,2,2,2,2,2,2,2,5,4,3,3,4,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,0,1,2,1,50,1,2,2,2,2,2,2,1,,,,,,,3,,,,,,1,12000.00,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,1,0.00,4000.00,100.00,0.00,4000.00,2300.00,80.00,40.00,100.00
353,PPAF,Rural,SEC E,Sindh,Badin,Karachi,Karachi District,Lower Sindh,"24.7521458,68.2782842",1,1,1,1,2,1,2,3,1,1,3,3,2,2,2,2,2,2,1,2,7,8,7,,500.00,3,5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,2,2,1,2,2,2,2,2,2,2,2,5,2,1,1,4,2,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,0,1,2,1,80,1,2,2,2,2,2,2,1,,,,,,,3,,,,,,2,10000.00,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,0.00,2000.00,100.00,0.00,500.00,1000.00,0.00,0.00,0.00
354,PPAF,Rural,SEC E,Sindh,Badin,Karachi,Karachi District,Lower Sindh,"24.7521458,68.2782842",1,1,1,2,2,1,1,3,1,1,4,4,2,2,2,2,2,2,1,1,7,15,5,,800.00,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,3,2,4,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,1,2,1,80,1,2,2,2,2,2,2,1,,,,,,,3,,,,,,2,8560.00,1,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,0.00,4000.00,100.00,0.00,500.00,3000.00,0.00,0.00,0.00
355,PPAF,Rural,SEC E,Sindh,Badin,Karachi,Karachi District,Lower Sindh,"24.7521458,68.2782842",1,2,1,2,2,2,1,3,1,3,1,4,2,2,2,2,2,2,1,1,7,8,0,,1000.00,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,12,2,2,1,2,2,2,2,2,2,2,2,4,3,2,2,4,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,1,2,1,50,1,2,2,2,2,2,2,1,,,,,,,3,,,,,,1,15000.00,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,0.00,4000.00,0.00,0.00,1000.00,2000.00,0.00,0.00,0.00
356,PPAF,Rural,SEC E,Sindh,Badin,Karachi,Karachi District,Lower Sindh,"24.7521458,68.2782842",1,1,1,1,2,1,1,3,1,4,4,4,2,2,2,2,2,2,1,1,7,14,0,,600.00,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,12,2,2,1,2,2,2,2,2,2,2,2,5,4,2,2,4,2,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,1,2,1,50,1,2,2,2,2,2,2,1,,,,,,,3,,,,,,2,10000.00,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,0.00,1000.00,400.00,0.00,400.00,3000.00,0.00,0.00,0.00
357,PPAF,Rural,SEC E,Sindh,Badin,Karachi,Karachi District,Lower Sindh,"24.7521458,68.2782842",1,2,1,1,2,1,1,3,1,1,4,3,2,2,2,2,2,2,1,1,7,14,0,,500.00,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,12,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,0,1,2,1,80,1,2,2,2,2,2,2,1,,,,,,,3,,,,,,2,10000.00,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,0.00,4000.00,400.00,0.00,500.00,2000.00,0.00,0.00,0.00
